"T1occ","T1occ_3_TEXT","T1finstrain_1","T1finstrain_2","T1finstrain_3","T1quitint_1","T1quitint_2","T1quitint_3","T1concom_1","T1concom_2","T1concom_3","T1affcom_1","T1affcom_2","T1affcom_3","T1employees","T1coown","T1indu","T1indu_7_TEXT","T1locat","T1age_1","T1gender","T1lang","T1lang_2_TEXT","T1edu","T1edu_6_TEXT","T1timebuiss","T2occ","T2occ_3_TEXT","T2quit","T2quitfinstrain","T2quitfinstrain_3_TEXT","T2currententre","T2finstrain_1","T2finstrain_2","T2finstrain_3","T2quitint_1","T2quitint_2","T2quitint_3","T2concom_1","T2concom_2","T2concom_3","T2affcom_1","T2affcom_2","T2affcom_3"
2,"",4,3,3,1,1,1,5,4,4,5,5,3,2,2,5,"",185,51,1,1,"",3,"",2922,2,"",1,NA,"",NA,4,2,3,2,2,1,3,1,3,4,4,3
2,"",1,1,1,4,1,1,1,4,4,4,3,2,2,1,1,"",185,45,1,1,"",4,"",5084,2,"",1,NA,"",NA,2,1,1,4,1,2,2,4,5,3,2,3
1,"",4,3,4,2,3,1,3,3,4,5,5,5,2,2,7,"",185,26,2,2,"Romanian",4,"",731,1,"",1,NA,"",NA,5,3,3,3,4,5,2,3,4,3,5,3
2,"",3,2,2,2,3,3,3,3,3,4,4,4,2,1,4,"",185,52,2,1,"",4,"",2131,2,"",1,NA,"",NA,3,1,1,1,1,1,3,3,3,3,3,3
1,"",4,5,5,3,3,2,4,4,4,3,4,3,2,1,3,"",185,59,1,1,"",6,"Masters degree",8462,1,"",1,NA,"",NA,5,5,5,4,3,2,3,4,3,3,3,3
1,"",2,2,4,1,1,1,4,5,5,5,5,2,2,1,1,"",185,33,2,1,"",2,"",823,1,"",1,NA,"",NA,2,2,4,2,1,1,4,5,4,3,4,4
1,"",2,2,2,1,1,1,5,5,5,4,4,5,1,2,4,"",185,39,2,1,"",2,"",1673,1,"",1,NA,"",NA,3,3,3,3,2,2,4,5,5,4,4,4
1,"",4,3,4,2,2,1,4,2,4,1,5,4,2,1,3,"",185,32,1,1,"",3,"",1704,1,"",1,NA,"",NA,4,2,2,2,2,2,4,2,4,4,5,3
2,"",3,2,2,1,1,1,5,5,5,5,4,5,1,1,7,"Events industry/entertainment",185,26,2,1,"",4,"",1492,2,"",1,NA,"",NA,4,2,4,1,1,1,5,5,5,4,4,5
2,"",1,1,1,1,1,1,3,4,4,5,5,5,2,1,4,"",185,46,1,1,"",4,"",7456,2,"",1,NA,"",NA,4,1,2,2,2,1,4,4,5,5,5,5
2,"",4,1,1,1,1,1,2,4,4,3,4,2,2,1,7,"Literature",185,59,2,1,"",2,"",4049,2,"",1,NA,"",NA,2,1,2,1,3,1,3,1,1,4,4,4
2,"",3,1,2,4,2,1,5,4,4,3,5,3,2,1,4,"",185,31,2,1,"",2,"",212,2,"",1,NA,"",NA,3,2,4,1,2,1,2,4,4,4,5,4
1,"",4,1,1,1,1,1,4,4,4,5,5,4,1,2,2,"",187,33,1,1,"",4,"",1247,1,"",1,NA,"",NA,4,2,2,1,1,1,4,4,4,5,5,5
1,"",4,2,2,3,2,1,4,3,4,4,5,4,2,1,4,"",185,23,1,1,"",3,"",426,1,"",1,NA,"",NA,3,3,3,4,3,2,4,3,4,4,4,2
2,"",3,3,3,2,1,1,2,4,3,4,4,4,2,1,7,"Graphic Design",185,25,2,1,"",4,"",396,1,"",1,NA,"",NA,3,3,4,3,2,1,3,4,4,4,4,4
1,"",4,2,3,3,2,2,2,3,4,4,4,4,2,1,1,"",185,54,1,1,"",3,"",1553,1,"",1,NA,"",NA,4,2,2,2,2,2,4,3,4,4,4,4
1,"",2,2,1,1,2,1,4,3,2,4,5,5,2,1,7,"entertainment",185,30,1,2,"Greek",4,"",3195,1,"",1,NA,"",NA,2,1,1,1,1,1,5,5,5,5,5,4
2,"",4,1,1,1,4,1,4,2,5,5,5,5,2,1,1,"",185,32,1,2,"Finnish",4,"",2496,2,"",1,NA,"",NA,4,2,1,1,1,1,2,2,4,5,5,5
1,"",5,2,4,1,1,1,5,5,5,5,5,5,2,1,2,"",185,53,1,1,"",4,"",2618,1,"",1,NA,"",NA,4,3,4,1,1,1,5,5,5,5,5,5
2,"",3,1,1,2,3,3,3,3,3,2,4,3,1,2,2,"",185,40,1,1,"",4,"",1369,1,"",1,NA,"",NA,4,2,3,2,2,3,4,3,4,5,4,4
1,"",2,2,2,1,1,1,4,4,4,4,3,4,2,1,4,"",185,46,2,1,"",4,"",2496,1,"",1,NA,"",NA,5,3,5,5,3,3,5,5,5,4,5,3
1,"",4,4,5,4,4,4,4,2,5,2,3,3,2,1,7,"Maintenance",185,40,1,1,"",3,"",2192,2,"",1,NA,"",NA,4,4,4,4,1,1,5,4,5,2,2,2
1,"",4,1,1,1,1,1,1,4,2,2,4,2,2,1,4,"",185,55,2,1,"",4,"",457,1,"",1,NA,"",NA,2,1,1,1,1,1,1,4,5,3,5,3
1,"",4,2,4,2,1,1,3,1,2,5,5,5,1,2,7,"Entertainment and events",185,34,1,1,"",2,"",2618,1,"",1,NA,"",NA,4,3,3,2,1,1,3,4,2,5,5,4
2,"",5,4,5,2,3,2,4,5,4,4,3,4,2,1,4,"",185,41,1,1,"",4,"",517,1,"",1,NA,"",NA,5,4,5,2,2,1,5,4,5,4,3,4
2,"",4,4,4,2,2,5,1,1,3,5,5,5,2,1,7,"Design",185,26,2,1,"",4,"",3073,1,"",1,NA,"",NA,5,4,5,3,2,4,1,1,4,4,4,3
1,"",5,2,4,4,4,4,4,4,4,4,2,3,1,2,1,"",185,52,2,1,"",5,"",4018,1,"",1,NA,"",NA,5,3,4,4,4,3,3,4,4,3,3,3
1,"",3,4,4,4,3,3,1,1,3,4,5,2,2,1,7,"Food",185,24,2,1,"",4,"",273,1,"",1,NA,"",NA,2,3,3,4,4,4,1,1,2,4,5,4
1,"",4,2,2,2,2,2,2,3,3,4,5,4,2,1,4,"",185,50,2,1,"",4,"",5752,1,"",1,NA,"",NA,4,2,2,1,1,1,2,4,4,4,5,4
1,"",4,4,3,1,1,1,5,5,5,5,5,5,1,1,2,"",185,37,1,1,"",3,"",304,2,"",1,NA,"",NA,5,4,4,2,3,1,5,5,5,5,3,5
1,"",4,4,4,1,1,1,5,4,4,5,5,4,2,1,6,"",185,57,1,1,"",2,"",5540,1,"",1,NA,"",NA,4,2,4,1,1,1,5,4,4,4,5,3
1,"",2,1,2,1,1,1,5,5,5,5,5,5,1,1,7,"legal",185,57,2,1,"",4,"",7578,1,"",1,NA,"",NA,4,1,2,1,1,1,5,5,5,5,5,5
2,"",4,2,3,2,2,1,4,4,4,5,5,5,1,1,7,"law",185,51,1,1,"",4,"",9009,1,"",1,NA,"",NA,4,2,4,2,2,1,4,4,5,5,5,4
1,"",4,4,4,2,1,1,4,4,5,4,4,4,2,1,7,"Art and Design",185,42,2,1,"",4,"",2039,1,"",1,NA,"",NA,4,2,3,2,2,2,4,4,4,4,4,4
2,"",5,4,4,4,2,1,4,5,5,2,4,2,2,1,7,"Arts",185,38,2,1,"",4,"",2435,2,"",1,NA,"",NA,5,4,5,5,3,3,4,5,5,4,4,1
2,"",4,4,5,4,2,2,3,4,4,4,4,4,2,1,7,"Photography",185,40,2,1,"",4,"",2131,2,"",1,NA,"",NA,4,4,4,4,2,2,2,4,4,3,4,4
1,"",4,1,2,1,2,1,1,1,1,5,5,4,2,1,6,"",185,37,1,1,"",3,"",1066,1,"",1,NA,"",NA,4,2,2,1,1,1,2,2,2,5,5,4
1,"",2,1,2,4,4,2,4,4,5,5,5,4,2,1,4,"",185,37,2,1,"",4,"",1157,1,"",1,NA,"",NA,4,2,2,3,2,2,2,4,5,4,4,5
2,"",4,4,4,2,2,2,5,4,5,4,5,4,1,1,7,"Arts and crafts",185,23,2,1,"",4,"",1096,2,"",1,NA,"",NA,5,4,4,2,2,1,5,5,5,4,4,4
1,"",2,1,1,4,4,4,1,4,4,4,5,4,2,1,7,"taxi",185,56,1,1,"",4,"",1857,1,"",1,NA,"",NA,2,2,2,4,4,4,2,5,5,5,5,4
