"RecordedDate","LocationLatitude","LocationLongitude","UserLanguage","occ","occ_3_TEXT","Q52_Page_Submit","Q53_Page_Submit","mani_1","mani_2","mani_3","quit_1","quit_2","quit_3","year_1","month_1","found","coown","indu","indu_7_TEXT","locat","age_1","gender","edu","edu_6_TEXT","exp_cond"
2021-05-05 20:47:45,"51.5095062255859375","-0.0955047607421875","EN",1,"",NA,38.69,5,5,5,2,2,1,2,3,1,1,3,"",185,40,2,4,"",2
2021-05-05 20:47:53,"51.6551971435546875","-0.3878936767578125","EN",1,"",23.075,NA,4,1,1,2,2,4,19,9,1,1,4,"",185,43,2,4,"",1
2021-05-05 20:48:20,"53.44769287109375","-1.204498291015625","EN",2,"",21.337,NA,1,1,1,1,1,1,9,5,1,1,1,"",185,11,2,2,"",1
2021-05-05 20:49:03,"51.5095062255859375","-0.0955047607421875","EN",2,"",21.867,NA,1,1,1,1,4,4,3,7,1,2,3,"",185,16,1,4,"",1
2021-05-05 20:49:31,"52.585205078125","-0.235992431640625","EN",1,"",NA,28.483,3,4,4,2,2,2,25,6,1,2,6,"",185,32,2,2,"",2
2021-05-05 20:49:33,"51.79510498046875","-0.18670654296875","EN",1,"",NA,51.268,5,5,5,4,4,4,14,6,1,1,3,"",185,27,2,4,"",2
2021-05-05 20:49:37,"51.527801513671875","-0.4842987060546875","EN",2,"",31.369,NA,1,1,1,1,1,1,9,9,1,1,3,"",185,20,2,4,"",1
2021-05-05 20:49:46,"53.4174041748046875","-2.91119384765625","EN",3,"Employed part time",NA,22.483,2,4,4,3,4,4,1,1,2,2,4,"",185,1,2,3,"",2
2021-05-05 20:50:09,"53.25579833984375","-1.42919921875","EN",2,"",NA,38.442,4,5,5,1,1,1,5,9,1,2,4,"",185,19,2,3,"",2
2021-05-05 20:50:16,"52.5319976806640625","-1.81500244140625","EN",2,"",NA,27.589,5,5,5,4,4,3,1,1,1,1,4,"",185,15,2,4,"",2
2021-05-05 20:50:50,"51.291107177734375","-1.05279541015625","EN",1,"",NA,24.914,4,4,5,4,4,2,5,5,1,1,7,"beauty",185,13,2,2,"",2
2021-05-05 20:50:55,"51.5189056396484375","-0.092193603515625","EN",1,"",25.443,NA,3,2,2,2,3,3,18,8,1,1,1,"",185,28,2,4,"",1
2021-05-05 20:51:13,"51.106597900390625","-4.164306640625","EN",1,"",21.629,NA,1,1,1,1,1,1,1,2,1,1,5,"",185,40,1,2,"",1
2021-05-05 20:51:18,"53.48590087890625","-2.7411956787109375","EN",2,"",23.219,NA,3,1,1,1,1,1,6,2,1,2,4,"",185,26,2,4,"",1
2021-05-05 20:51:25,"55.002105712890625","-1.628692626953125","EN",1,"",NA,21.6,4,5,5,4,3,3,42,7,1,1,6,"",185,42,1,3,"",2
2021-05-05 20:51:29,"54.1212005615234375","-3.194305419921875","EN",1,"",NA,44.356,5,5,5,5,5,5,13,4,1,2,7,"hospitality",185,20,2,4,"",2
2021-05-05 20:51:40,"51.57879638671875","-0.123504638671875","EN",2,"",NA,23.078,5,5,5,4,4,4,12,10,1,1,3,"",185,16,1,4,"",2
2021-05-05 20:52:08,"-29.8556060791015625","31.0449066162109375","EN",1,"",21.454,NA,4,1,1,1,1,3,3,1,2,2,4,"",161,19,1,4,"",1
2021-05-05 20:52:17,"51.57470703125","-1.7823028564453125","EN",1,"",21.345,NA,3,1,1,1,2,1,2,1,1,2,7,"fitness",185,24,2,3,"",1
