"RecordedDate","LocationLatitude","LocationLongitude","UserLanguage","occ","occ_3_TEXT","Q52_Page_Submit","Q53_Page_Submit","mani_1","mani_2","mani_3","quit_1","quit_2","quit_3","finsit_1","finsit_2","year_1","month_1","found","coown","indu","indu_7_TEXT","locat","age_1","gender","edu","edu_6_TEXT","exp_cond","year","month","t1timebuiss","ID"
2021-05-05,"50.9468994140625","-1.41119384765625","EN",1,"",184.356,NA,2,1,1,1,1,1,2,4,7,2,1,1,3,"",185,33,2,4,"",1,2015,"Feb",2285,111
2021-05-05,"53.4994049072265625","-2.2433013916015625","EN",2,"",25.69,NA,3,1,2,1,1,1,2,5,8,6,1,1,7,"art",185,16,2,5,"",1,2014,"Jun",2530,112
2021-05-05,"51.5095062255859375","-0.0955047607421875","EN",1,"",NA,38.69,5,5,5,2,2,1,5,5,2,3,1,1,3,"",185,40,2,4,"",2,2020,"Mar",430,113
2021-05-05,"53.44769287109375","-1.204498291015625","EN",2,"",21.337,NA,1,1,1,1,1,1,2,2,9,5,1,1,1,"",185,11,2,2,"",1,2013,"May",2926,115
2021-05-05,"51.5095062255859375","-0.0955047607421875","EN",2,"",21.867,NA,1,1,1,1,4,4,4,5,3,7,1,2,3,"",185,16,1,4,"",1,2019,"Jul",674,116
2021-05-05,"52.585205078125","-0.235992431640625","EN",1,"",NA,28.483,3,4,4,2,2,2,1,2,25,6,1,2,6,"",185,32,2,2,"",2,1997,"Jun",8739,117
2021-05-05,"51.79510498046875","-0.18670654296875","EN",1,"",NA,51.268,5,5,5,4,4,4,1,2,14,6,1,1,3,"",185,27,2,4,"",2,2008,"Jun",4721,118
2021-05-05,"51.527801513671875","-0.4842987060546875","EN",2,"",31.369,NA,1,1,1,1,1,1,4,4,9,9,1,1,3,"",185,20,2,4,"",1,2013,"Sep",2803,119
2021-05-05,"53.25579833984375","-1.42919921875","EN",2,"",NA,38.442,4,5,5,1,1,1,2,2,5,9,1,2,4,"",185,19,2,3,"",2,2017,"Sep",1342,120
2021-05-05,"52.5319976806640625","-1.81500244140625","EN",2,"",NA,27.589,5,5,5,4,4,3,1,2,1,1,1,1,4,"",185,15,2,4,"",2,2021,"Jan",124,121
2021-05-05,"51.291107177734375","-1.05279541015625","EN",1,"",NA,24.914,4,4,5,4,4,2,2,4,5,5,1,1,7,"beauty",185,13,2,2,"",2,2017,"May",1465,122
2021-05-05,"51.5189056396484375","-0.092193603515625","EN",1,"",25.443,NA,3,2,2,2,3,3,5,5,18,8,1,1,1,"",185,28,2,4,"",1,2004,"Aug",6121,123
2021-05-05,"51.106597900390625","-4.164306640625","EN",1,"",21.629,NA,1,1,1,1,1,1,1,1,1,2,1,1,5,"",185,40,1,2,"",1,2021,"Feb",93,124
2021-05-05,"53.48590087890625","-2.7411956787109375","EN",2,"",23.219,NA,3,1,1,1,1,1,4,4,6,2,1,2,4,"",185,26,2,4,"",1,2016,"Feb",1920,125
2021-05-05,"55.002105712890625","-1.628692626953125","EN",1,"",NA,21.6,4,5,5,4,3,3,2,4,42,7,1,1,6,"",185,42,1,3,"",2,1980,"Jul",14918,126
2021-05-05,"54.1212005615234375","-3.194305419921875","EN",1,"",NA,44.356,5,5,5,5,5,5,4,5,13,4,1,2,7,"hospitality",185,20,2,4,"",2,2009,"Apr",4417,127
2021-05-05,"51.57879638671875","-0.123504638671875","EN",2,"",NA,23.078,5,5,5,4,4,4,1,5,12,10,1,1,3,"",185,16,1,4,"",2,2010,"Oct",3869,128
2021-05-05,"51.57470703125","-1.7823028564453125","EN",1,"",21.345,NA,3,1,1,1,2,1,4,5,2,1,1,2,7,"fitness",185,24,2,3,"",1,2020,"Jan",490,129
2021-05-05,"51.4535064697265625","-2.591705322265625","EN",1,"",NA,22.341,5,5,5,4,3,2,1,1,22,4,1,2,1,"",185,26,2,4,"",2,2000,"Apr",7704,130
2021-05-05,"51.9123992919921875","-0.3845977783203125","EN",2,"",130.327,NA,2,1,1,1,1,1,2,2,4,1,1,1,7,"Events",185,16,2,4,"",1,2018,"Jan",1220,131
2021-05-05,"51.4770965576171875","-2.5531005859375","EN",2,"",NA,22.071,5,5,5,4,2,2,4,4,2,8,1,2,3,"",185,9,2,4,"",2,2020,"Aug",277,132
