"T1ID","T1occ","T1occ_3_TEXT","T1finstrain_1","T1finstrain_2","T1finstrain_3","T1quitint_1","T1quitint_2","T1quitint_3","T1concom_1","T1concom_2","T1concom_3","T1affcom_1","T1affcom_2","T1affcom_3","T1employees","T1coown","T1indu","T1indu_7_TEXT","T1locat","T1age_1","T1gender","T1lang","T1lang_2_TEXT","T1edu","T1edu_6_TEXT","T1PROLIFIC_PID","ID","T1timebuiss","T2occ","T2occ_3_TEXT","T2quit","T2quitfinstrain","T2quitfinstrain_3_TEXT","T2currententre","T2finstrain_1","T2finstrain_2","T2finstrain_3","T2quitint_1","T2quitint_2","T2quitint_3","T2concom_1","T2concom_2","T2concom_3","T2affcom_1","T2affcom_2","T2affcom_3"
"5c8651b69a306000016f7c35",1,"",4,4,5,4,2,1,3,4,4,3,3,2,2,1,4,"",185,46,1,1,"",4,"","5c8651b69a306000016f7c35",293,5145,1,"",1,NA,"",NA,5,5,5,5,2,2,4,3,3,2,2,2
"5c506dc03f7ad20001037252",1,"",3,2,3,2,2,2,4,5,5,4,4,5,2,1,7,"Art and design",185,45,2,2,"Dutch",4,"","5c506dc03f7ad20001037252",294,670,1,"",1,NA,"",NA,4,3,4,2,2,2,3,4,4,2,4,4
"57444be32801a2000d7a75e9",1,"",4,1,2,1,1,1,4,2,4,5,5,5,2,1,5,"",185,35,2,1,"",2,"","57444be32801a2000d7a75e9",295,1127,1,"",1,NA,"",NA,4,2,4,2,2,2,3,3,3,4,3,3
"587372cbe16d530001b34ed8",2,"",1,1,1,1,1,1,5,5,5,5,5,5,2,1,3,"",185,45,1,1,"",3,"","587372cbe16d530001b34ed8",296,365,2,"",1,NA,"",NA,3,2,5,5,4,4,1,1,1,5,5,4
"58efec0c95e1480001305bd2",1,"",2,1,2,1,1,1,5,5,5,5,5,5,2,1,4,"",185,49,2,1,"",2,"","58efec0c95e1480001305bd2",297,3165,1,"",1,NA,"",NA,4,1,2,1,1,1,4,4,4,5,5,5
"5c9355225be2830001f8d948",1,"",4,1,2,1,1,1,5,5,5,5,5,5,2,1,7,"Fitness",185,37,2,1,"",3,"","5c9355225be2830001f8d948",300,1369,1,"",1,NA,"",NA,5,3,3,2,1,1,3,2,4,5,5,4
"58a36e4bd6a2220001178ed1",2,"",5,4,4,1,1,1,5,5,5,5,5,5,2,1,7,"Arts",185,28,2,1,"",4,"","58a36e4bd6a2220001178ed1",301,548,2,"",1,NA,"",NA,4,3,4,2,1,1,2,1,5,5,5,4
"5cefd79bc37f4f0018de98da",1,"",5,5,5,1,1,1,5,4,5,5,5,2,2,1,7,"Art",185,33,1,1,"",4,"","5cefd79bc37f4f0018de98da",302,1431,1,"",1,NA,"",NA,5,5,5,1,1,1,5,5,5,5,5,4
"5e690f83d1e0d41a69f00db8",2,"",1,2,2,2,2,1,2,4,4,4,5,4,1,2,2,"",185,25,1,1,"",5,"","5e690f83d1e0d41a69f00db8",303,1553,2,"",1,NA,"",NA,2,1,2,2,1,2,5,4,4,4,5,5
"5b9f8b4243bf0500015deb50",1,"",5,5,5,5,5,4,2,4,4,2,2,2,2,1,7,"Hospitality",185,55,2,1,"",3,"","5b9f8b4243bf0500015deb50",304,1734,1,"",1,NA,"",NA,4,4,4,5,2,2,5,5,4,5,5,4
"60a8a19d5edb559ca4a1e237",1,"",5,2,4,1,1,1,4,1,3,5,5,5,2,1,4,"",185,41,2,1,"",2,"","60a8a19d5edb559ca4a1e237",305,2496,1,"",1,NA,"",NA,5,4,4,2,1,1,4,2,4,5,5,5
"5dcddf9f4d51e40a5292727d",1,"",3,1,1,1,1,1,4,4,3,4,4,4,2,1,7,"arts",185,52,1,1,"",4,"","5dcddf9f4d51e40a5292727d",307,3439,1,"",1,NA,"",NA,2,1,2,1,1,1,3,4,4,2,5,3
"5e3d27a2e6e96910f09f3aa8",2,"",4,2,3,4,3,1,2,4,4,4,4,4,2,1,4,"",185,29,1,1,"",4,"","5e3d27a2e6e96910f09f3aa8",308,426,2,"",1,NA,"",NA,4,3,4,3,2,2,2,4,4,4,4,4
"60a2d6fbeab6230c98822a83",2,"",4,4,4,2,1,1,4,4,4,5,5,4,2,1,4,"",185,37,2,1,"",4,"","60a2d6fbeab6230c98822a83",309,151,2,"",1,NA,"",NA,2,2,2,1,1,1,2,2,4,5,5,5
"60b8ba78d542997c6da77923",1,"",2,2,2,3,4,3,4,2,2,5,4,4,2,1,4,"",185,32,1,1,"",2,"","60b8ba78d542997c6da77923",310,426,2,"",1,NA,"",NA,2,3,4,2,4,2,2,2,2,5,5,5
"59e71a3b1ac65d0001eb47ac",1,"",2,1,1,1,1,1,4,5,3,4,4,3,2,2,2,"",185,46,2,1,"",4,"","59e71a3b1ac65d0001eb47ac",313,7060,1,"",1,NA,"",NA,1,1,1,1,1,1,4,4,4,3,5,2
"6042a74a8f512c1d2f31aa65",1,"",1,1,3,1,2,1,2,4,4,3,4,2,2,1,7,"Marketing",185,35,1,1,"",2,"","6042a74a8f512c1d2f31aa65",314,92,1,"",1,NA,"",NA,3,2,3,1,2,1,1,2,3,3,4,4
"563fecf4074be600055e98c7",1,"",4,4,4,1,2,1,2,3,4,5,5,5,2,2,4,"",185,60,2,1,"",5,"","563fecf4074be600055e98c7",315,3500,1,"",1,NA,"",NA,4,5,5,1,1,1,4,5,5,5,5,4
"5f16c949246faf23e33a0d22",1,"",4,2,2,4,4,4,3,5,5,2,4,1,2,1,4,"",185,64,2,1,"",4,"","5f16c949246faf23e33a0d22",319,1522,1,"",1,NA,"",NA,5,2,2,2,4,2,3,4,4,3,4,2
"60abbb05288f7eeb1312c3b7",2,"",3,1,1,1,1,1,2,2,2,5,5,5,2,1,4,"",185,41,2,1,"",4,"","60abbb05288f7eeb1312c3b7",320,2739,2,"",1,NA,"",NA,2,1,2,1,1,1,1,4,2,5,5,5
"5ef26aa64546750cfaf3c87b",2,"",5,5,5,4,2,3,4,5,5,5,4,4,2,1,7,"Complementary therapy",185,46,2,1,"",6,"Post Graduate","5ef26aa64546750cfaf3c87b",322,457,2,"",1,NA,"",NA,5,5,5,4,3,3,2,5,4,4,4,4
"5e54c7fc2394ea4c99f88987",2,"",2,3,2,1,1,1,5,5,5,5,5,5,2,1,7,"Arts",185,33,2,1,"",3,"","5e54c7fc2394ea4c99f88987",323,1066,2,"",1,NA,"",NA,2,3,2,1,1,1,5,5,5,5,5,5
"57404490d700ea000ef44990",1,"",3,2,3,1,1,1,4,4,4,4,4,4,2,1,2,"",185,47,2,1,"",4,"","57404490d700ea000ef44990",324,2465,1,"",1,NA,"",NA,3,3,3,1,1,1,4,4,4,3,4,4
"5ded4aa2caeb6041ea113abe",2,"",4,3,4,4,3,3,3,4,4,5,5,5,2,1,1,"",185,42,1,1,"",3,"","5ded4aa2caeb6041ea113abe",326,2253,2,"",1,NA,"",NA,4,4,5,3,2,1,4,5,5,5,3,3
"542bdb6dfdf99b324ea37c3a",1,"",3,3,3,3,3,3,3,3,3,3,3,3,2,1,6,"",185,50,1,1,"",4,"","542bdb6dfdf99b324ea37c3a",330,7914,1,"",1,NA,"",NA,2,2,2,3,3,3,3,3,3,3,3,3
"5ba0181462e04c0001f76d2b",1,"",1,1,1,1,1,1,4,5,5,4,4,3,2,1,3,"",185,51,2,1,"",4,"","5ba0181462e04c0001f76d2b",331,6848,1,"",1,NA,"",NA,1,1,1,1,1,1,3,5,4,4,5,3
"5ec39be059dafe01d81ffaf0",1,"",4,2,3,1,1,1,5,5,5,4,4,3,2,2,7,"Hospitality",185,64,1,1,"",4,"","5ec39be059dafe01d81ffaf0",332,1826,1,"",1,NA,"",NA,3,2,2,1,1,1,4,5,5,4,4,4
"57cdc1afa4804100018b5c34",1,"",4,1,2,1,1,1,5,5,5,5,5,5,2,1,3,"",185,37,2,1,"",4,"","57cdc1afa4804100018b5c34",333,1978,1,"",1,NA,"",NA,4,1,4,1,2,1,4,5,4,5,5,4
"5c5b55ce32810e0001c3456b",1,"",5,1,4,1,1,1,4,3,4,4,4,4,2,1,3,"",185,53,1,1,"",5,"","5c5b55ce32810e0001c3456b",334,3318,1,"",1,NA,"",NA,5,1,5,3,1,1,5,4,4,3,2,3
"60526ca52273fdff8fc728ea",1,"",3,4,3,2,2,1,3,2,2,5,4,4,2,1,3,"",185,41,2,2,"Slovak",4,"","60526ca52273fdff8fc728ea",335,2131,1,"",1,NA,"",NA,3,3,4,3,2,1,5,5,5,4,4,4
"5eba7de23468ad1cc5f33160",2,"",1,1,1,1,1,1,5,1,4,5,5,5,1,1,2,"",185,23,1,2,"Shona",4,"","5eba7de23468ad1cc5f33160",336,2343,2,"",1,NA,"",NA,5,2,1,1,1,1,5,2,4,5,5,4
"59a13bc2c9281e0001c1b9f2",2,"",4,3,2,4,4,3,2,2,4,5,5,5,2,1,4,"",185,38,2,1,"",3,"","59a13bc2c9281e0001c1b9f2",338,4840,2,"",1,NA,"",NA,5,4,4,4,5,4,2,4,5,5,4,4
"5d9ca4eff93dba0013e68c11",1,"",5,2,4,1,1,1,5,4,4,5,5,4,2,1,2,"",185,44,1,2,"Russian",4,"","5d9ca4eff93dba0013e68c11",341,6545,1,"",1,NA,"",NA,5,2,4,2,2,2,5,4,4,5,5,4
